['c+', '*', '*', 'a+', '*', 'r+', '*', '*'] RRD RRD
['d+', 'p+', '*', '*', 'r+', 'p+', '-', '*'] RDD RDD
['p+', 'c+', 'r+', 'c+', '*', '*', '*', 'c+'] LLD LLD
['d+', '*', 'p+', '*', 't+', '*', '*', '*'] LUU LUU
['d+', '*', '*', '*', '*', '*', 'p+', '*'] LUU LUU
['d+', 'p+', '*', '*', 'd+', '*', '*', '*'] RDD RDD
['*', '*', '*', '*', '*', '*', 'a+', '-'] RRU RRU
['*', '*', 'p+', 'd+', '*', 'r+', '*', '-'] RRD RRD
['p+', 'd+', '*', 'r+', '*', 't+', '*', '-'] LDD LDD
['*', '*', 'c+', '*', 'r+', '*', '-', '*'] RDD RDD
['d+', 't+', '*', 'c+', 'c+', 'p+', 'd+', '*'] RRU RRU
['*', 'r+', '-', '*', 'd+', '*', '*', 'c+'] LLU LLU
['d+', '-', 'r+', 't+', '-', 'a+', '*', 'p+'] LLD LLD
['*', 't+', 'c+', '*', '*', '*', '*', 'c+'] LLU LLU
['d+', 'c+', 'c+', '-', 'a+', '-', 'c+', 'a+'] LUU LUU
['*', '*', '*', 'p+', 'c+', 'r+', 'r+', '*'] RRU RRU
['r+', 'a+', '*', '*', '*', 'c+', '*', '*'] LUU LUU
['*', 'r+', '*', '*', '*', '*', 'r+', '*'] RRU RRU
['p+', 'd+', '-', '*', 'a+', '*', '*', '*'] LLU LLU
['p+', 'c+', '*', '*', '-', '*', '*', 't+'] RUU RUU
['r+', 'c+', '-', '-', '*', '*', 'r+', '*'] RRU RRU
['*', '*', 'a+', 'r+', 'p+', '*', '*', '*'] LDD LDD
['*', 'd+', 'p+', '*', '*', 'p+', '*', '*'] LLU LLU
['c+', '*', 'c+', '*', 'a+', '*', '*', 'p+'] RDD RDD
['*', '*', 'p+', '*', 'a+', '*', 'r+', '*'] RRU RRU
['t+', 't+', '*', 'd+', '*', 'r+', '*', '*'] RRD RRD
['r+', 't+', 'p+', 't+', 'r+', '*', 'r+', '*'] RRU RRU
['d+', 'c+', 't+', '*', '*', '*', 'p+', 'r+'] RUU RUU
['r+', 't+', '*', '*', '*', '*', 'a+', 'r+'] RUU RUU
['c+', 'd+', 'p+', 'd+', '*', '*', 'c+', 'c+'] LDD LDD
['c+', '*', '*', 't+', 'c+', 'p+', '*', 't+'] RUU RUU
['*', 'd+', '*', '*', '*', '*', '-', 'r+'] RUU RUU
['*', 'c+', '*', 'p+', '*', '-', '*', '*'] LLU LLU
['*', '*', '*', '*', 'r+', 'r+', '*', 'd+'] RRD RRD
['*', '*', 'd+', 'c+', 'r+', '*', '*', 'd+'] RDD RDD
['-', 'p+', 't+', '*', 'a+', '*', '-', 'c+'] LLD LLD
['*', '*', 'd+', '-', '-', 'a+', '-', 'd+'] RUU RUU
['*', '*', 'r+', 'p+', '*', '*', '*', '*'] LLD LLD
['r+', '*', 'd+', '*', '*', '*', 't+', 'a+'] LUU LUU
['t+', '*', '*', '*', '*', 'c+', '*', 'r+'] RUU RUU
['*', '-', '*', '-', 'a+', 'd+', '*', 'a+'] RRD RRD
['d+', 't+', 'c+', '*', '*', 'a+', '*', '*'] LUU LUU
['p+', 't+', '*', 'r+', 't+', '*', '*', 'r+'] RUU RUU
['r+', '*', '*', '*', '*', 't+', '*', 'a+'] LUU LUU
['*', '*', '*', '*', '*', 'p+', 'r+', '*'] RRU RRU
['r+', '*', 'd+', 'd+', '*', 'r+', 'r+', '*'] RRU RRU
['*', '-', '*', '*', 't+', '*', 'a+', 'a+'] RDD RDD
['-', '*', 't+', 'a+', 'p+', '*', '*', '*'] LLD LLD
['*', '-', 'd+', '*', '*', '*', 'r+', '*'] RRU RRU
['*', 'r+', '*', '*', 'd+', 'd+', '*', '*'] LLU LLU
['d+', 'r+', 't+', 'd+', '*', '*', '-', 'a+'] LLU LLU
['*', '*', '*', '*', 'a+', '*', '*', '*'] RDD RDD
['*', 'p+', 'p+', '*', 'c+', '-', 'a+', 'r+'] RUU RUU
['*', '*', '*', '*', '*', '-', 'd+', 'r+'] RUU RUU
['-', '*', 't+', 't+', 'p+', '*', '*', '*'] LDD LDD
['*', '*', '-', '*', 't+', '-', '*', 't+'] RUU RUU
['t+', '*', '*', '*', 'c+', 'a+', 'r+', '*'] RRU RRU
['*', '*', 'c+', '*', 'p+', 'd+', 'c+', '*'] RRD RRD
['p+', '-', '*', '*', '*', '*', '*', '*'] LUU LUU
['-', '*', '*', '*', '*', '-', 'c+', '*'] RRU RRU
['*', '*', '*', '*', 'c+', '*', '*', 'r+'] RUU RUU
['*', 't+', '*', 'd+', '*', '*', 'p+', 'p+'] LDD LDD
['*', 'r+', '*', '*', 'r+', 'p+', 't+', '*'] RDD RDD
['a+', '*', 't+', 'c+', '*', 'a+', 'd+', 'c+'] RRU RRU
['c+', '*', '*', '*', 'd+', 'a+', '*', 'd+'] RUU RUU
['*', 'a+', '*', '*', '*', '*', 't+', 'd+'] RUU RUU
['c+', 'd+', 'd+', '*', '-', '*', 'c+', '*'] LLD LLD
['a+', 'c+', 'a+', 'd+', 't+', '*', 'c+', 'd+'] RUU RUU
['*', '-', '*', 'r+', '*', 'a+', '*', '*'] LDD LDD
['d+', 'a+', '-', '*', '*', 'c+', 'r+', '*'] RRU RRU
['*', '*', 'p+', 't+', '*', 'r+', 'p+', 't+'] RRD RRD
['*', 'c+', 'a+', '*', '*', 'a+', 'r+', 'd+'] RRU RRU
['*', '-', '*', 'c+', 'd+', 't+', '*', 'c+'] RDD RDD
['*', '*', 'p+', 'd+', '*', 'p+', 'a+', '-'] LDD LDD
['*', '*', 'a+', '*', 'c+', 'r+', 'a+', '*'] RRD RRD
['*', 'p+', '*', 't+', '*', '*', '*', 'p+'] LDD LDD
['a+', 'r+', '*', 'd+', 'r+', '*', '*', 't+'] RDD RDD
['*', 'r+', '*', '*', 'a+', 'a+', 'd+', 'r+'] RUU RUU
['-', '*', '*', '*', '-', '-', 'p+', 'c+'] RUU RUU
['*', '*', 'd+', '*', '*', 'c+', '*', '*'] LLD LLD
['*', '*', 'r+', 'd+', '*', '*', '*', 'p+'] LLD LLD
['t+', 'd+', 'r+', 'r+', 'd+', '*', 't+', 'd+'] LDD LDD
['-', '*', '*', '-', 'r+', 'r+', '*', 'a+'] RRD RRD
['p+', '*', '*', '*', '*', '*', 'd+', 'c+'] RRU RRU
['*', '*', 'r+', '*', 'd+', '*', 'r+', 'p+'] RRU RRU
['*', '*', '-', '*', 'r+', 'd+', '*', '*'] RDD RDD
['*', 'a+', '*', '*', 'r+', 'p+', '*', 'a+'] RDD RDD
['*', '-', 'c+', '*', '*', '*', 'd+', '-'] RRU RRU
['p+', '*', '*', '*', '*', 't+', '*', 'a+'] RRD RRD
['*', '*', 'r+', '*', '*', '*', '*', '*'] LLD LLD
['r+', '*', 'd+', '*', '*', '*', 'd+', '*'] LUU LUU
['r+', 'r+', '*', '*', 'p+', '*', '*', '*'] LLU LLU
['c+', 'p+', '*', 'a+', '*', '*', 'p+', '-'] LDD LDD
['r+', '*', '*', 'd+', '*', '*', '-', 'c+'] LUU LUU
['*', '*', 'p+', '*', '*', '*', '*', 'd+'] RUU RUU
['*', 'd+', 'p+', 'p+', '*', 'a+', 'r+', '*'] RRU RRU
['p+', 't+', '-', 'd+', 'c+', '*', 'd+', '*'] RRU RRU
['t+', '*', '*', 'r+', 'a+', '*', 't+', '*'] LDD LDD
['*', '*', '*', 'p+', '-', 'a+', '*', 'c+'] RRD RRD
['p+', 'c+', '*', '*', 'a+', 'r+', '*', 'p+'] RRD RRD
['-', '*', '*', 'r+', '*', '-', '*', 'c+'] LDD LDD
['*', 'c+', '*', '-', '*', 'c+', 'p+', 'r+'] RUU RUU
['p+', '*', 'd+', '*', 'p+', 'd+', '*', 'r+'] RUU RUU
['*', '*', '*', '*', 'p+', '*', '*', 'a+'] RUU RUU
['p+', '*', '*', '*', 'r+', '*', '*', 'd+'] RDD RDD
['c+', 'p+', 'c+', '*', 'p+', '*', 'p+', '*'] LLD LLD
['r+', 'd+', '-', '*', '*', 'r+', 'd+', 'd+'] RRD RRD
['d+', '*', 't+', 'r+', 'a+', 't+', '*', '*'] LDD LDD
['c+', '*', '*', 't+', '*', 'a+', '*', '*'] LDD LDD
['d+', 'd+', '*', 'a+', 't+', 'p+', '*', 'p+'] LLU LLU
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['d+', '*', '*', '*', '*', '*', '*', 'a+'] LUU LUU
['*', '*', '*', '*', '*', '*', 'r+', 'c+'] RRU RRU
['p+', '-', '*', 'r+', '*', 'r+', 'c+', 't+'] RRD RRD
['p+', '*', 't+', '*', '*', 'a+', 't+', '*'] RRU RRU
['r+', '*', 't+', 'c+', '*', '*', 'p+', '*'] LUU LUU
['*', 'r+', '*', 'd+', 'a+', 'p+', 'r+', 't+'] RRU RRU
['*', 'p+', '*', '*', '*', 'd+', '-', '-'] RRD RRD
['*', '-', '*', '*', '*', '*', '*', '*'] LLU LLU
['-', '*', '*', '*', 'r+', 'a+', '*', '*'] RDD RDD
['*', 'd+', '*', '*', '*', '*', '*', 'r+'] RUU RUU
['*', 't+', '*', '*', '*', 'a+', '*', 'r+'] RUU RUU
['p+', '*', '*', '*', '*', '-', '*', 'd+'] RUU RUU
['*', 'c+', 'a+', '*', '*', 'd+', '*', '-'] RRD RRD
['-', 'a+', '*', '*', 'c+', 'c+', 'p+', '*'] LLU LLU
['d+', '*', 'c+', 'd+', 'd+', '*', '*', 'c+'] RDD RDD
['*', 'd+', '*', 'r+', '*', '*', 'd+', 'a+'] LDD LDD
['t+', 'd+', 'p+', '*', 'c+', '*', 'a+', 'd+'] RUU RUU
['*', 'a+', 't+', '*', '*', '*', 'p+', '*'] LLD LLD
['*', '*', '*', 'd+', 'p+', '*', '*', '*'] LDD LDD
['*', 'c+', '*', '*', '*', '*', 't+', 'r+'] RUU RUU
['*', '*', '-', '*', '*', '-', 'c+', 'p+'] RRU RRU
['*', '*', '*', '*', 'r+', '*', '*', '*'] RDD RDD
['*', '*', '*', 'r+', 't+', 'p+', '*', '*'] LDD LDD
['-', 't+', '*', 't+', '*', 'r+', 'a+', '*'] RRD RRD
['*', '*', 'p+', '*', '*', '*', '*', '*'] LLD LLD
['*', '-', '*', '*', 'a+', '*', '*', 'a+'] RUU RUU
['*', '*', 'a+', 'p+', '*', 'a+', '*', 'p+'] RRD RRD
['-', '*', 'c+', '-', '*', 'c+', '*', '*'] RRD RRD
['*', '*', 'd+', 'c+', 'p+', '*', '*', 'r+'] RUU RUU
['d+', '*', 'p+', 'd+', '*', 'a+', 'd+', '*'] RRU RRU
['*', '*', 'a+', 'r+', '-', 'a+', '*', '*'] LDD LDD
['*', '*', 'a+', 't+', 't+', 'p+', '*', '*'] RDD RDD
['d+', '*', 'a+', '*', '-', '*', 'c+', 'a+'] LUU LUU
['*', 'r+', 't+', 't+', '*', '*', 'r+', '*'] RRU RRU
['*', 'r+', 'c+', 't+', '*', 't+', 'r+', '*'] RRU RRU
['d+', '*', 'd+', 't+', 'a+', 'r+', '*', '*'] RRD RRD
['t+', 't+', '*', '*', 't+', '-', 'c+', '*'] RDD RDD
['-', 'r+', '*', '*', 't+', 'r+', 'a+', '*'] RRD RRD
['p+', '*', '*', '*', 'p+', 'p+', 'r+', '*'] RRU RRU
['c+', '*', 't+', '-', 'r+', '*', 'd+', '-'] RDD RDD
['*', '-', '*', 'd+', '*', 'a+', '*', 't+'] LDD LDD
['*', '*', '*', '*', 'c+', '*', 'd+', 'd+'] RUU RUU
['a+', 'c+', 't+', 't+', 'c+', '*', '*', '*'] LDD LDD
['*', 'c+', '-', 'c+', 't+', '*', 'r+', '*'] RRU RRU
['*', '*', 't+', '*', '*', 'a+', '*', '*'] LLD LLD
['c+', '*', 'p+', '*', 'd+', 'p+', 'a+', 'a+'] RDD RDD
['r+', '*', '*', '-', 'd+', 'a+', 'r+', 'c+'] RRU RRU
['p+', '*', '-', '*', 'p+', 'r+', 'p+', '*'] RRD RRD
['*', 't+', 'r+', '*', 'a+', '*', 't+', '*'] LLD LLD
['*', '*', '*', 'c+', '*', 'c+', '-', 'a+'] RUU RUU
['*', '*', 't+', '*', '*', '*', 'p+', 'd+'] RUU RUU
['a+', '*', '*', '*', '-', '*', '*', '*'] LUU LUU
['*', 't+', '*', 't+', '*', 'a+', '*', 'p+'] LDD LDD
['*', '-', '*', '*', '*', '*', 'p+', 't+'] RUU RUU
['*', '*', '-', 'p+', '*', '*', '*', 'd+'] RUU RUU
['*', '*', 't+', '*', 'd+', '-', '*', 'p+'] RDD RDD
['*', 'c+', 'a+', '*', '*', 't+', '*', 'c+'] RRD RRD
['c+', '*', '*', '-', '*', 'd+', 'r+', 't+'] RRU RRU
['*', '-', 'p+', '*', 'a+', 'c+', '-', '*'] RDD RDD
['a+', '*', 'c+', '*', 't+', '*', '*', '*'] RDD RDD
['a+', '*', '*', '-', 'r+', '*', 'a+', '-'] RDD RDD
['*', '*', '*', '*', 'r+', 'c+', '*', 'd+'] RDD RDD
['*', 'r+', 'd+', '*', '*', '*', '*', '*'] LLU LLU
['*', '-', '*', '*', 'r+', 'd+', '*', 'a+'] RDD RDD
['*', '*', 'd+', '*', 'r+', '*', '*', '*'] RDD RDD
['c+', '*', '*', 'd+', 'r+', '*', 'd+', '*'] RDD RDD
['*', 'a+', 'r+', '*', 'p+', 'c+', '*', '*'] LLD LLD
['p+', 'r+', '*', '*', '*', 'p+', 'r+', '*'] RRU RRU
['*', 'p+', '*', '*', 'a+', '*', '-', 'a+'] RUU RUU
['t+', 't+', 'd+', '*', 'c+', '*', 'r+', '*'] RRU RRU
['*', '*', '*', 'p+', 'r+', '*', 'd+', '*'] RDD RDD
['*', '*', 'c+', '*', 'd+', 'c+', '*', 'c+'] RDD RDD
['t+', '*', '-', 'd+', 'c+', '*', '*', 'a+'] LDD LDD
['t+', 'd+', 'a+', '*', 't+', '*', '*', 'r+'] RUU RUU
['*', 'c+', '*', 'p+', 'a+', '*', 'c+', 't+'] RUU RUU
['r+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['*', 'p+', 'p+', '*', '*', 'r+', '*', '*'] RRD RRD
['*', '*', '*', '*', 'c+', '*', '*', 't+'] RUU RUU
['p+', 'r+', '*', 'c+', '-', '*', 't+', 't+'] LLU LLU
['*', '*', 'p+', 'd+', '-', '*', 'a+', '*'] LDD LDD
['a+', 'a+', 'c+', '-', 'a+', 'c+', '*', '*'] RDD RDD
['a+', '-', '*', 'c+', 'c+', '*', 'd+', 'c+'] RRU RRU
['a+', 'c+', '*', 'a+', 'a+', 't+', '-', 'a+'] RRD RRD
['*', '*', 'p+', 't+', 'c+', 'c+', '-', '*'] LDD LDD
['-', '*', '*', 'a+', 'r+', '*', '*', 'd+'] RDD RDD
['t+', '-', '*', '*', 'd+', 'p+', 'r+', 'r+'] RUU RUU
['p+', 'p+', '*', '*', '*', '*', 'r+', '*'] RRU RRU
['*', '*', '*', '*', 'c+', '*', 't+', '*'] RRU RRU
['*', 'p+', 't+', '*', '*', 'a+', 'r+', 'c+'] RRU RRU
['c+', 'c+', '*', 'c+', 'a+', 'd+', '*', '*'] RRD RRD
['*', '*', 'r+', '*', 't+', 'c+', 'r+', 'c+'] RRU RRU
['*', 't+', '*', '*', '*', 'c+', 'r+', 'a+'] RRU RRU
['c+', '*', 'p+', '*', '-', 'r+', '-', '*'] RRD RRD
['*', 't+', '*', 't+', '-', 'r+', '*', '*'] RRD RRD
['d+', 'a+', '*', 'p+', 'c+', '*', 'c+', 'd+'] RUU RUU
['*', 't+', '*', '*', '*', '-', 'a+', '*'] LLU LLU
['c+', 't+', 'd+', '*', '*', 'd+', '*', '*'] RRD RRD
['-', '*', '*', '-', 'p+', '*', '*', '*'] RDD RDD
['*', '*', '*', 'c+', '*', 'c+', '*', 'r+'] RUU RUU
['*', '*', 'p+', '*', 'd+', '*', '-', 'p+'] RDD RDD
['*', '*', '*', '*', '*', 'r+', '*', 'c+'] RRD RRD
['*', 'd+', '*', 't+', '*', 'p+', '*', 'c+'] LLU LLU
['*', '*', 'd+', '*', '*', 'r+', 'p+', '*'] RRD RRD
['*', 't+', '*', 'a+', '*', '*', '*', 't+'] RUU RUU
['*', 'd+', 'p+', 'p+', 'd+', 't+', '*', '*'] RDD RDD
['a+', 'a+', '-', '*', 'd+', '*', '*', '*'] RDD RDD
['d+', '*', 'c+', 'r+', '*', '*', '*', 'r+'] RUU RUU
['*', '*', '*', 'a+', 't+', '*', 'a+', '*'] RDD RDD
['c+', '*', 'p+', '*', '-', 'r+', 'c+', 't+'] RRD RRD
['-', '*', 't+', '-', 'p+', 'c+', 'a+', '*'] LLD LLD
['*', 'r+', 'c+', '-', '*', '*', '*', '*'] LLU LLU
['*', 'a+', '*', 'p+', '*', '*', '*', 'a+'] RUU RUU
['-', '*', '*', 'p+', 'a+', '*', '*', 't+'] RUU RUU
['c+', 'a+', '*', 'd+', '*', 'p+', 'p+', '*'] LDD LDD
['*', 'c+', '*', '*', 't+', '*', 'p+', '-'] RDD RDD
['d+', '*', 't+', 'p+', '*', 't+', '*', 't+'] LUU RUU
['*', '*', '*', 'a+', '*', '*', '*', '*'] LDD LDD
['*', 'p+', 'r+', '*', 't+', '-', '*', 'd+'] LLD LLD
['*', 'p+', 'r+', '*', 't+', '-', 't+', '*'] LLD LLD
['c+', '*', '*', '*', '*', '*', '*', 'a+'] RUU RUU
['p+', '*', 'r+', '*', '*', '*', 'c+', 'd+'] LLD LLD
['p+', '*', 'c+', '*', 'p+', '*', 'a+', 't+'] RUU RUU
['*', 'r+', 'c+', 'p+', 'c+', 'r+', 'd+', '*'] RRD RRD
['r+', 'd+', '*', '*', 't+', '*', '*', '*'] LUU LLU
['p+', 'r+', '*', '*', '-', 'c+', 't+', 'd+'] LLU LLU
['*', '*', '*', '*', '*', '*', '*', 'p+'] RUU RUU
['*', 't+', '*', 'd+', '*', 'p+', '*', '-'] LDD LDD
['-', '*', 'p+', '*', '*', 'c+', 'r+', '*'] RRU RRU
['d+', '*', '*', 'd+', '-', '*', '*', '-'] LDD LDD
['c+', '*', 'a+', '*', 'p+', '*', '*', '-'] LLD LLD
['a+', 't+', '*', '*', '-', '*', 'a+', '*'] LLU LLU
['*', 'p+', 'p+', '*', '*', '*', '*', '*'] LLD LLU
['*', '*', '*', '-', 'r+', '*', 't+', 'd+'] RDD RDD
['*', 't+', 'p+', 't+', 'a+', 't+', '*', '*'] RRD RRD
['*', 'r+', '*', '*', '*', '*', '*', 'p+'] LLU LLU
['t+', '*', 'c+', 'c+', 'r+', '*', 'r+', '*'] RRU RRU
['c+', '*', '*', '*', 'a+', '*', '*', '*'] RDD RDD
['p+', '*', '*', '*', 'd+', '*', '*', '*'] RDD RDD
['r+', '*', '*', 't+', '*', 'd+', 'a+', 'p+'] LUU LUU
['*', 'a+', 'p+', 'c+', 't+', '*', 'a+', '*'] RDD RDD
['a+', 'p+', 'c+', '-', '*', 'a+', 'p+', 'r+'] RUU RUU
['t+', '*', '*', 'a+', 'r+', '*', '*', '*'] RDD RDD
['a+', 't+', '*', '-', 'a+', '*', '-', 'r+'] RUU RUU
['*', 't+', '-', '*', 'c+', 't+', 'd+', 't+'] RRU RRU
['*', '*', '*', 'd+', 'd+', '*', 'c+', '*'] RDD RDD
['t+', '*', 'c+', 'r+', 'r+', 'r+', 'a+', '*'] RRD RRD
['t+', '*', '*', 'a+', 'p+', 'd+', '*', 'p+'] RRD RRD
['*', 't+', 't+', 'r+', '*', '*', '*', '*'] LDD LDD
['a+', 't+', '-', '*', '*', '*', 'p+', 'p+'] LLU LLU
['a+', 'p+', 'a+', '*', '-', '*', 'r+', '*'] RRU RRU
['*', '*', '*', 'd+', 'a+', 'c+', 'a+', '*'] LDD LDD
['d+', 'c+', '-', 't+', '*', '-', 'p+', 't+'] LUU RUU
['p+', '*', '-', '*', '-', 'r+', 'p+', 'r+'] RUU RUU
['*', '*', '*', '*', '*', 'p+', '*', '*'] RRD RRD
['*', '*', 'a+', '-', 'p+', '*', 't+', 't+'] RUU RUU
['*', 'a+', 'a+', 'r+', '-', '*', 't+', 'c+'] LDD LDD
['p+', 'a+', 'r+', '*', 'c+', '-', 't+', 't+'] LLD LLD
['r+', 'd+', '*', '*', 'a+', '*', '-', '*'] LUU LUU
['c+', '*', '*', 'r+', 'd+', 'r+', 'd+', '*'] RRD RRD
['r+', '-', 't+', 'r+', '*', '*', '-', '*'] LDD LDD
['a+', 't+', 'r+', '*', '*', '*', 'c+', '-'] LLD LLD
['c+', '*', '*', 'a+', '*', '*', '*', 'a+'] RUU RUU
['d+', '*', '*', '*', '*', '*', '*', 'c+'] LUU LUU
['t+', 't+', 'c+', 'a+', '*', '*', 'r+', 'r+'] RUU RUU
['-', '*', 'p+', 'r+', '-', 'c+', '*', '*'] LDD LDD
['*', '*', '*', '*', '*', '*', 'p+', '*'] RRU RRU
['*', '*', '*', '*', 'a+', 't+', '*', '*'] RRD RRD
['*', '-', '*', 'r+', '-', 'd+', 'c+', 'a+'] LDD LDD
['*', 'd+', 'd+', '*', '*', '-', 'a+', '*'] LLD LLD
['*', '*', '*', '*', '-', 'r+', '*', 'd+'] RRD RRD
['a+', 'a+', 'r+', '-', 'p+', '-', '*', '*'] LLD LLD
['p+', '*', '*', 'd+', '*', 'p+', 'p+', '*'] LDD LDD
['d+', '-', '*', '*', 'p+', 'r+', 't+', 'd+'] RRD RRD
['*', 'c+', '*', 't+', 'd+', '*', '*', 'c+'] RDD RDD
['p+', '*', '*', 'a+', 'p+', 't+', '*', 'd+'] RUU RUU
['r+', '*', 'r+', 'r+', 't+', 'd+', '-', '*'] LDD LDD
['a+', 't+', '*', 'c+', '*', 'c+', 'r+', 'r+'] RUU RUU
['*', '*', '-', 'r+', '-', '*', 'd+', 'a+'] LDD LDD
['*', 'd+', 'r+', '*', '*', 'd+', 'p+', '*'] LLD LLD
['*', '*', '*', '*', 'c+', 'a+', '*', '*'] RRD RRD
['*', 'p+', '*', '*', '-', 'c+', '*', '*'] RRD RRD
['*', 'd+', '*', '-', '*', '*', '*', 't+'] LLU LLU
['*', 't+', '*', 'r+', '*', 'r+', '*', '*'] RRD RRD
['*', '-', 'p+', 'p+', 'c+', '*', 'p+', '-'] RDD RDD
['*', 't+', '*', '*', '*', '*', '*', '*'] LLU LLU
['c+', 'd+', '*', '-', '-', '*', 'p+', '*'] LLU LLU
['*', 'a+', 'd+', '*', '*', 't+', '-', '-'] LLD LLD
['r+', 'a+', '*', '-', 'd+', '*', '*', 't+'] LUU LUU
['*', 'a+', '*', '*', '*', '*', '*', 'c+'] LLU LLU
['c+', '*', '*', '*', '*', 'a+', '*', 'c+'] RRD RRD
['*', '*', '*', 't+', '*', 'p+', 'd+', '*'] RRU RRU
['*', '*', '*', 'r+', 'a+', '*', '*', 't+'] LDD LDD
['*', 'p+', '*', '*', 't+', '*', '-', '*'] RDD RDD
['a+', 'a+', '*', 'r+', 'd+', 'd+', '*', 'p+'] LDD LDD
['*', 'a+', '*', '*', 'c+', 't+', '-', 'd+'] RUU RUU
['a+', '*', 'd+', '*', 'd+', 'c+', 'c+', '*'] RDD RDD
['t+', 'c+', '-', '-', '-', '*', '*', '*'] LUU LUU
['*', '*', '*', '*', 'p+', 't+', '-', '*'] RRD RRD
['r+', 'c+', '*', '*', '*', 'r+', '*', '*'] RRD RRD
['*', '*', 'p+', '*', '*', '*', '*', '*'] LLD LLD
['t+', 'c+', '*', '*', '*', 'r+', '*', 'a+'] RRD RRD
['r+', 'd+', '*', 'c+', '*', '*', '*', '*'] LUU LUU
['d+', '*', '-', '*', 'c+', '*', '*', 'd+'] RUU RUU
['-', '*', 'p+', '*', 'd+', 'd+', '*', '*'] RRD RRD
['t+', 'p+', '-', '*', '*', 'p+', 'c+', 'r+'] RUU RUU
['*', '*', '*', 'd+', '*', 'd+', 'c+', 'r+'] RUU RUU
['*', 'p+', 't+', 'd+', 'r+', '*', '*', '*'] RDD RDD
['*', '*', 't+', 'd+', '*', '*', 'p+', 'c+'] LDD LDD
['c+', 'c+', '-', 't+', '*', '*', '*', '*'] LDD LDD
['-', 'd+', 'a+', '*', 'a+', '*', '*', '*'] LLU LLU
['t+', 'a+', 'c+', '*', '-', '*', 'a+', '*'] LUU LUU
['*', 'd+', '*', 'p+', '-', '*', '*', '*'] LLU LLU
['*', '*', '*', 'd+', '*', 't+', 't+', 'p+'] LDD LDD
['*', 'a+', '-', 'c+', '*', '*', '*', 'd+'] RUU RUU
['*', '*', 'c+', '*', '*', '*', '*', 'c+'] RUU RUU
['*', 'r+', 't+', 'r+', 'c+', 'a+', 'a+', 'r+'] RUU RUU
['*', '*', '*', '*', '*', '*', 'a+', '*'] RRU RRU
['*', '*', '*', 'p+', '*', 't+', 'c+', '*'] RRD RRD
['d+', 't+', '*', 'r+', 'c+', '*', 'a+', '*'] LDD LDD
['a+', '*', '*', '*', '*', 'p+', '*', 'c+'] LUU LUU
['-', '*', 'r+', '*', 'a+', '*', '*', '*'] LLD LLD
['*', 'p+', '*', '*', 'c+', '*', 'a+', '*'] RRU RRU
['r+', 'r+', '*', 'r+', '*', 't+', 'p+', '-'] LDD LDD
['*', '*', '-', '*', 't+', 'r+', '*', 'a+'] RRD RRD
['*', 'r+', '*', '*', 'r+', 'a+', '*', 'd+'] RDD RDD
['-', '*', '*', '*', 't+', '*', 'd+', '*'] RRU RRU
['d+', '*', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['*', '*', 't+', 'd+', '-', 'd+', '*', '*'] RRD RRD
['*', '*', '*', 'a+', 'd+', '*', '*', '*'] RDD RDD
['d+', '*', 't+', 't+', 'a+', '-', 'p+', '-'] LUU LUU
['*', '*', '*', 'd+', 'c+', '*', 'd+', '*'] RRU RRU
['*', '*', '*', 'a+', 'd+', '*', '*', '-'] RDD RDD
['*', '*', '*', 't+', '*', '*', 'a+', 'd+'] RUU RUU
['d+', '*', '*', '*', 't+', '*', '*', 't+'] LUU LUU
['*', 'd+', '*', 'd+', '*', '*', 'd+', '*'] RRU RRU
['p+', '*', '*', '*', '*', '-', '*', '*'] LUU LUU
['*', '-', '-', 'p+', 'r+', 't+', '*', 't+'] RDD RDD
['c+', '*', 't+', '*', '*', '*', 'd+', '-'] RRU RRU
['p+', '*', '*', '*', 'r+', '-', '*', 'p+'] RDD RDD
['t+', 't+', 't+', 'c+', '*', 'a+', '-', '*'] LLD LLD
['*', 'a+', '*', 'd+', '*', '*', '*', 'r+'] RUU RUU
['d+', '*', '-', 'c+', '*', '*', '*', '*'] LUU LUU
['p+', '*', 'r+', '*', 'p+', 'd+', 'c+', 'c+'] LLD LLD
['a+', 'p+', '*', '*', 'r+', 't+', '*', '*'] RDD RDD
['t+', '*', 'd+', 'd+', 'c+', '*', '*', '*'] LDD LDD
['*', '-', 'c+', 't+', 'c+', '*', '*', '*'] LDD LDD
['*', '*', '*', 't+', 'p+', 'd+', '*', 'c+'] RRD RRD
['*', '*', 'a+', '*', '*', 'r+', 'd+', 'p+'] RRD RRD
['p+', '*', 'p+', 't+', '*', '-', 'a+', 'c+'] LDD LDD
['-', 'a+', '-', 'd+', 'a+', '-', '*', '*'] LDD LDD
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['r+', 'c+', 'p+', 'p+', '-', '*', '*', '*'] LUU LUU
['*', '*', 'c+', '*', 'p+', '*', 'r+', '*'] RRU RRU
['*', '*', '*', 'c+', 'd+', '*', 'a+', '*'] RDD RDD
['*', 't+', '*', '-', 'c+', '*', '*', '*'] LLU LLU
['t+', 'r+', '*', 't+', 'c+', '-', '*', '*'] LLU LLU
['*', 't+', '*', '*', 'a+', 'd+', '*', 'a+'] RRD RRD
